locale,lang_long,url,version,size,exact_size,wer,notes,license
en_US,American English,https://alphacephei.com/vosk/models/vosk-model-small-en-us-0.15.zip,0.15.0,small,40M,9.85 (librispeech test-clean) 10.38 (tedlium),Lightweight wideband model for Android and RPi,Apache 2.0
en_US,American English,https://alphacephei.com/vosk/models/vosk-model-en-us-0.22.zip,0.22.0,large,1.8G,5.69 (librispeech test-clean) 6.05 (tedlium) 29.78(callcenter),Accurate generic US English model,Apache 2.0
en_IN,Indian English,https://alphacephei.com/vosk/models/vosk-model-en-in-0.5.zip,0.5.0,large,1G,36.12 (NPTEL Pure),Generic Indian English model for telecom and broadcast,Apache 2.0
en_IN,Indian English,https://alphacephei.com/vosk/models/vosk-model-small-en-in-0.4.zip,0.4.0,small,36M,49.05 (NPTEL Pure),Lightweight Indian English model for mobile applications,Apache 2.0
zh_CN,Chinese,https://alphacephei.com/vosk/models/vosk-model-small-cn-0.22.zip,0.22.0,small,42M,23.54 (SpeechIO-02) 38.29 (SpeechIO-06) 17.15 (THCHS),Lightweight model for Android and RPi,Apache 2.0
zh_CN,Chinese,https://alphacephei.com/vosk/models/vosk-model-cn-0.22.zip,0.22.0,large,1.3G,13.98 (SpeechIO-02) 27.30 (SpeechIO-06) 7.43 (THCHS),Big generic Chinese model for server processing,Apache 2.0
ru_RU,Russian,https://alphacephei.com/vosk/models/vosk-model-ru-0.22.zip,0.22.0,large,1.5G,5.74 (our audiobooks) 13.35 (open_stt audiobooks) 20.73 (open_stt youtube) 37.38 (openstt calls) 8.65 (golos crowd) 19.71 (sova devices),Big mixed band Russian model for server processing,Apache 2.0
ru_RU,Russian,https://alphacephei.com/vosk/models/vosk-model-small-ru-0.22.zip,0.22.0,small,45M,22.71 (openstt audiobooks) 31.97 (openstt youtube) 29.89 (sova devices) 11.79 (golos crowd),Lightweight wideband model for Android/iOS and RPi,Apache 2.0
fr_FR,French,https://alphacephei.com/vosk/models/vosk-model-small-fr-0.22.zip,0.22.0,small,41M,23.95 (cv test) 19.30 (mtedx) 27.25 (podcast),Lightweight wideband model for Android/iOS and RPi,Apache 2.0
fr_FR,French,https://alphacephei.com/vosk/models/vosk-model-fr-0.22.zip,0.22.0,large,1.4G,14.72 (cv test) 11.64 (mls) 13.10 (mtedx) 21.61 (podcast) 13.22 (voxpopuli),Big accurate model for servers,Apache 2.0
de_DE,German,https://alphacephei.com/vosk/models/vosk-model-de-0.21.zip,0.21.0,large,1.9G,"9.83 (Tuda-de test), 24.00 (podcast) 12.82 (cv-test) 12.42 (mls) 33.26 (mtedx)",Big German model for telephony and server,Apache 2.0
de_DE,German,https://alphacephei.com/vosk/models/vosk-model-small-de-0.15.zip,0.15.0,small,45M,"13.75 (Tuda-de test), 30.67 (podcast)",Lightweight wideband model for Android and RPi,Apache 2.0
es_ES,Spanish,https://alphacephei.com/vosk/models/vosk-model-small-es-0.42.zip,0.42.0,small,39M,16.02 (cv test) 16.72 (mtedx test) 11.21 (mls),Lightweight wideband model for Android and RPi,Apache 2.0
es_ES,Spanish,https://alphacephei.com/vosk/models/vosk-model-es-0.42.zip,0.42.0,large,1.4G,7.50 (cv test) 10.05 (mtedx test) 5.84 (mls),Big model for Spanish,Apache 2.0
pt_PT,Portugese,https://alphacephei.com/vosk/models/vosk-model-small-pt-0.3.zip,0.3.0,small,31M,68.92 (coraa dev) 32.60 (cv test),Lightweight wideband model for Android and RPi,Apache 2.0
pt_PT,Portugese,https://alphacephei.com/vosk/models/vosk-model-pt-fb-v0.1.1-20220516_2113.zip,0.1.1,large,1.6G,54.34 (coraa dev) 27.70 (cv test),Big model from FalaBrazil,GPLv3.0
el_GR,Greek,https://alphacephei.com/vosk/models/vosk-model-el-gr-0.7.zip,0.7.0,large,1.1G,TBD,"Big narrowband Greek model for server processing, not extremely accurate though",Apache 2.0
tr_TR,Turkish,https://alphacephei.com/vosk/models/vosk-model-small-tr-0.3.zip,0.3.0,small,35M,TBD,Lightweight wideband model for Android and RPi,Apache 2.0
vi_VN,Vietnamese,https://alphacephei.com/vosk/models/vosk-model-small-vn-0.3.zip,0.3.0,small,32M,TBD,Lightweight wideband model for Android and RPi,Apache 2.0
it_IT,Italian,https://alphacephei.com/vosk/models/vosk-model-small-it-0.22.zip,0.22.0,small,48M,16.88 (cv test) 25.87 (mls) 17.01 (mtedx),Lightweight model for Android and RPi,Apache 2.0
it_IT,Italian,https://alphacephei.com/vosk/models/vosk-model-it-0.22.zip,0.22.0,large,1.2G,8.10 (cv test) 15.68 (mls) 11.23 (mtedx),Big generic Italian model for servers,Apache 2.0
nl_NL,Dutch,https://alphacephei.com/vosk/models/vosk-model-small-nl-0.22.zip,0.22.0,small,39M,22.45 (cv test) 26.80 (tv) 25.84 (mls) 24.09 (voxpopuli),Lightweight model for Dutch,Apache 2.0
nl_NL,Dutch,https://alphacephei.com/vosk/models/vosk-model-nl-spraakherkenning-0.6.zip,0.6.0,large,860M,20.40 (cv test) 32.64 (tv) 17.73 (mls) 19.96 (voxpopuli),Medium Dutch model from Kaldi_NL,CC-BY-NC-SA
ca_ES,Catalan,https://alphacephei.com/vosk/models/vosk-model-small-ca-0.4.zip,0.4.0,small,42M,TBD,Lightweight wideband model for Android and RPi for Catalan,Apache 2.0
ar_AE,Arabic,https://alphacephei.com/vosk/models/vosk-model-ar-mgb2-0.4.zip,0.4.0,large,318M,16.40 (MGB-2 dev set),Repackaged Arabic model trained on MGB2 dataset from Kaldi,Apache 2.0
fa_IR,Farsi,https://alphacephei.com/vosk/models/vosk-model-fa-0.5.zip,0.5.0,large,1G,TBD,"Model with large vocabulary, not yet accurate but better than before (Persian)",Apache 2.0
fa_IR,Farsi,https://alphacephei.com/vosk/models/vosk-model-small-fa-0.5.zip,0.5.0,small,60M,TBD,Bigger small model for desktop application (Persian),Apache 2.0
uk_UA,Ukrainian,https://alphacephei.com/vosk/models/vosk-model-small-uk-v3-nano.zip,3.0.0,small,73M,TBD,Nano model from Speech Recognition for Ukrainian,Apache 2.0
uk_UA,Ukrainian,https://alphacephei.com/vosk/models/vosk-model-uk-v3.zip,3.0.0,large,343M,TBD,Bigger model from Speech Recognition for Ukrainian,Apache 2.0
kk_KZ,Kazakh,https://alphacephei.com/vosk/models/vosk-model-small-kz-0.15.zip,0.15.0,small,42M,9.60(dev) 8.32(test),Small mobile model from SAIDA_Kazakh,Apache 2.0
kk_KZ,Kazakh,https://alphacephei.com/vosk/models/vosk-model-kz-0.15.zip,0.15.0,large,378M,8.06(dev) 6.81(test),Bigger wideband model SAIDA_Kazakh,Apache 2.0
sv_SE,Swedish,https://alphacephei.com/vosk/models/vosk-model-small-sv-rhasspy-0.15.zip,0.15.0,large,289M,TBD,Repackaged model from Rhasspy project,MIT
ja_JP,Japanese,https://alphacephei.com/vosk/models/vosk-model-small-ja-0.22.zip,0.22.0,small,48M,9.52(csj CER) 17.07(ted10k CER),Lightweight wideband model for Japanese,Apache 2.0
ja_JP,Japanese,https://alphacephei.com/vosk/models/vosk-model-ja-0.22.zip,0.22.0,large,1Gb,8.40(csj CER) 13.91(ted10k CER),Big model for Japanese,Apache 2.0
hi_IN,Hindi,https://alphacephei.com/vosk/models/vosk-model-small-hi-0.22.zip,0.22.0,small,42M,20.89 (IITM Challenge) 24.72 (MUCS Challenge),Lightweight model for Hindi,Apache 2.0
hi_IN,Hindi,https://alphacephei.com/vosk/models/vosk-model-hi-0.22.zip,0.22.0,large,1.5Gb,14.85 (CV Test) 14.83 (IITM Challenge) 13.11 (MUCS Challenge),Big accurate model for servers,Apache 2.0
cs_CZ,Czech,https://alphacephei.com/vosk/models/vosk-model-small-cs-0.4-rhasspy.zip,0.4.0,small,44M,21.29 (CV Test),Lightweight model for Czech from Rhasspy project,MIT
pl_PL,Polish,https://alphacephei.com/vosk/models/vosk-model-small-pl-0.22.zip,0.22.0,small,50.5M,18.36 (CV Test) 16.88 (MLS Test) 11.55 (Voxpopuli Test),Lightweight model for Polish for Android,Apache 2.0
